url,role,current_title,kw_principal,kw_secundarias,intention,priority,justification,volumen_es,kd,notes
/,home,Fideltour — CDP para hoteles,CDP para hoteles,plataforma datos hoteles|software hoteles fidelización|CDP hotelero,commercial,P0,"Home es la URL canónica para la categoría brand. Captura intent commercial alto + branded. ÚNICA URL del sitio con 'CDP' como KW principal.",,,
/cdp-para-hoteles/,pillar,CDP para hoteles: fidelización 360º en tarifa plana,qué es un CDP hotelero,diferencia CRM CDP hotel|customer data platform hoteles|para qué sirve un CDP hotelero,informational,P0,"Pillar education-led. Captura intent informational sin canibalizar la home (commercial). 'CDP' aparece aquí porque es pillar de categoría.",,,
/clientes/,social-proof,Clientes,hoteles que usan Fideltour,clientes Fideltour|logos hoteles Fideltour|grupos hoteleros clientes Fideltour,navigational,P1,"Hub LISTADO (logos + grid). KW branded/navigational. Diferenciar de /casos-de-exito/ (storytelling individual).",,,
/contacto/,conversion,Contacta con nosotros,demo Fideltour hoteles,solicitar demo software hoteles|hablar con Fideltour|contacto comercial hotelero,transactional,P1,"Conversion page. KW alta intención transaccional. Volumen bajo esperable; lo importante es ranking branded + demo.",,,
/marketplace/,product,Marketplace,integraciones para hoteles,marketplace integraciones hoteleras|conectores PMS hoteleros|integraciones software hotelero,commercial,P1,"Hub de integraciones. Captura intent evaluación técnica (¿con qué se integra?). Sin 'CDP' — el visitante busca por producto.",,,
/recursos/,hub,Recursos · Fideltour Academy,recursos marketing hotelero,academia marketing hoteles|guías marketing hotelero|formación marketing hotelero,informational,P1,"Hub educativo. KW informational broad. Compite con academias y blogs sectoriales.",,,
/recursos/nuestros-videos-crm-hotelero/,sub-hub,Vídeos · CDP hotelero Fideltour,vídeos CRM hotelero,tutoriales CRM hoteles|formación hotelera vídeo|vídeos formación hotelera,informational,P2,"Sub-hub de vídeos. Long-tail informational. Recurso de marca, no tráfico masivo.",,,
/blog/,hub,Blog,blog marketing hotelero,blog hoteles digital|blog gestión hotelera digital|artículos marketing hotel,informational,P1,"Hub del blog. Volumen útil esperable. Posts individuales capturan long-tail propio.",,,
/casos-de-exito/,social-proof,Casos de éxito,casos éxito hotel marketing,casos éxito venta directa hotel|hoteles transformación digital casos|casos hoteles aumento RevPAR,commercial,P1,"Hub de CASOS INDIVIDUALES con storytelling. Cada /casos-de-exito/{slug}/ captura long-tail '{nombre hotel} caso Fideltour'.",,,
/auditoria-gratuita-hotel/,lead-magnet,Auditoría de fidelización gratuita para hoteles,auditoría marketing hotel gratis,auditoría fidelización hoteles gratis|análisis marketing hotelero gratuito|auditoría venta directa hotel,transactional,P0,"Lead magnet. KW alta intención + freebie hook. P0 para captación.",,,
